sku_name,image_url,local_file
Eukanuba Dog Adult Medium Chicken 12kg,https://vitalpetproducts.co.uk/cdn/shop/files/77759_3616x7198_0b9f23b2-5c86-4be0-8482-7063f96d3004.png?v=1756368237&width=400,images/Eukanuba Dog Adult Medium Chicken 12kg.png
Eukanuba Dog Adult Large Chicken 12kg,https://vitalpetproducts.co.uk/cdn/shop/files/77761_3616x7198_e0caade0-9457-4657-bdee-2e9084c43646.png?v=1756368240&width=400,images/Eukanuba Dog Adult Large Chicken 12kg.png
Eukanuba Dog Puppy Large Chicken 12kg,https://vitalpetproducts.co.uk/cdn/shop/files/77749_3616x7198_00209f1d-4e55-447b-973f-aeef6b69da96.png?v=1756368552&width=400,images/Eukanuba Dog Puppy Large Chicken 12kg.png
Eukanuba Dog Mature Medium Chicken 12kg,https://vitalpetproducts.co.uk/cdn/shop/files/77771_3616x7198_280209b1-0bdc-46a0-bcff-3c0e087e8c30.png?v=1756368281&width=400,images/Eukanuba Dog Mature Medium Chicken 12kg.png
Eukanuba Dog Adult Small Chicken 3kg,https://vitalpetproducts.co.uk/cdn/shop/files/77755_2540x4213_38363a75-1756-41e1-9e0e-72c51639d827.png?v=1756368222&width=400,images/Eukanuba Dog Adult Small Chicken 3kg.png
Eukanuba Dog Senior Large Chicken 12kg,https://vitalpetproducts.co.uk/cdn/shop/files/77778_3616x7198_a983c7d0-9f38-47eb-84ec-af684589f63d.png?v=1756368796&width=400,images/Eukanuba Dog Senior Large Chicken 12kg.png
Eukanuba Dog Can Life Care Adult All Breeds Turkey & Carrot 400g,https://vitalpetproducts.co.uk/cdn/shop/files/77783_5315x7264_86c69489-7388-46a1-a3e5-23b845903be0.png?v=1756371255&width=400,images/Eukanuba Dog Can Life Care Adult All Breeds Turkey _ Carrot 400g.png
Eukanuba Dog Adult Large Lamb & Rice 12kg,https://vitalpetproducts.co.uk/cdn/shop/files/77765_3616x7198_fde06848-de7b-4f99-b949-f0db81289c11.png?v=1756368255&width=400,images/Eukanuba Dog Adult Large Lamb _ Rice 12kg.png
Eukanuba Dog Can Life Care Senior All Breeds Turkey & Carrot 400g,https://vitalpetproducts.co.uk/cdn/shop/files/77785_5315x7264_12286d6c-aa1f-44b4-8a8c-404098033192.png?v=1756371259&width=400,images/Eukanuba Dog Can Life Care Senior All Breeds Turkey _ Carrot 400g.png
Eukanuba Dog Adult Small/Medium Lamb & Rice 12kg,https://vitalpetproducts.co.uk/cdn/shop/files/77763_3616x7198_88569fb9-be9e-4b8a-844e-e93dae8da2c0.png?v=1756368251&width=400,images/Eukanuba Dog Adult Small_Medium Lamb _ Rice 12kg.png
Eukanuba Dog Adult Medium Chicken 3kg,https://vitalpetproducts.co.uk/cdn/shop/files/77758_2540x4213_d8da0913-7b58-45f5-ad6e-24ac48a93d6a.png?v=1756368228&width=400,images/Eukanuba Dog Adult Medium Chicken 3kg.png
Eukanuba Dog Can Life Care Puppy All Breeds Turkey & Carrot 400g,https://vitalpetproducts.co.uk/cdn/shop/files/77782_5315x7264_ca7390ba-ec55-41a5-8a0c-54f80aafc33c.png?v=1756371244&width=400,images/Eukanuba Dog Can Life Care Puppy All Breeds Turkey _ Carrot 400g.png
Eukanuba Dog Senior Medium Chicken 12kg,https://vitalpetproducts.co.uk/cdn/shop/files/77777_3616x7198_3e1f7677-540c-4249-bf14-785dbbb09a82.png?v=1756368805&width=400,images/Eukanuba Dog Senior Medium Chicken 12kg.png
Eukanuba Dog Adult Small Chicken 12kg,https://vitalpetproducts.co.uk/cdn/shop/files/77757_3616x7198_300a54ed-1870-4509-8b59-5009f35eab9e.png?v=1756368226&width=400,images/Eukanuba Dog Adult Small Chicken 12kg.png
Eukanuba Dog Can Life Care Adult All Breeds Lamb & Potato 400g,https://vitalpetproducts.co.uk/cdn/shop/files/77784_5315x7264_431bea74-1073-462e-bea1-a938c08b9ed8.png?v=1756371255&width=400,images/Eukanuba Dog Can Life Care Adult All Breeds Lamb _ Potato 400g.png
Eukanuba Dog Puppy Medium Chicken 12kg,https://vitalpetproducts.co.uk/cdn/shop/files/77747_3616x7198_69d1fcae-2461-4387-8783-d84e20a06420.png?v=1756368538&width=400,images/Eukanuba Dog Puppy Medium Chicken 12kg.png
